category,query_id,video_id,timestamp,frame_idx,detection_id,track_id,full_query,automatic_anchor,detector_prompt,detector_score,detector_bbox,sam_bbox,sam_mask_area,siglip_bbox_score,siglip_masked_score,expected_color,color_score,center_x_norm,center_y_norm,speed,context_png,bbox_crop_png,sam_mask_png,masked_crop_png,combined_debug_png
object,q003,video_01,0.0,0,1,,a yellow car,,a yellow car,0.2791773378849029,"733.1,659.4,864.0,717.1","732.0,660.0,862.0,720.0",5939,0.0869823470711708,0.0915323197841644,yellow,0.0,,,,outputs/frame_checks/object/q003/q003_t0000.00_det01_context.png,outputs/frame_checks/object/q003/q003_t0000.00_det01_bbox_crop.png,outputs/frame_checks/object/q003/q003_t0000.00_det01_sam_mask.png,outputs/frame_checks/object/q003/q003_t0000.00_det01_masked_crop.png,outputs/frame_checks/object/q003/q003_t0000.00_det01_debug.png
object,q003,video_01,0.5,15,1,,a yellow car,,a yellow car,0.6068733334541321,"565.0,463.4,678.3,516.3","566.0,467.0,678.0,515.0",3831,0.0650114268064498,0.0785877555608749,yellow,0.0185330193489789,,,,outputs/frame_checks/object/q003/q003_t0000.50_det01_context.png,outputs/frame_checks/object/q003/q003_t0000.50_det01_bbox_crop.png,outputs/frame_checks/object/q003/q003_t0000.50_det01_sam_mask.png,outputs/frame_checks/object/q003/q003_t0000.50_det01_masked_crop.png,outputs/frame_checks/object/q003/q003_t0000.50_det01_debug.png
object,q003,video_01,1.5,45,1,,a yellow car,,a yellow car,0.6009131073951721,"564.9,463.4,678.2,516.3","566.0,467.0,678.0,515.0",3820,0.0663448274135589,0.0804017782211303,yellow,0.0175392664968967,,,,outputs/frame_checks/object/q003/q003_t0001.50_det01_context.png,outputs/frame_checks/object/q003/q003_t0001.50_det01_bbox_crop.png,outputs/frame_checks/object/q003/q003_t0001.50_det01_sam_mask.png,outputs/frame_checks/object/q003/q003_t0001.50_det01_masked_crop.png,outputs/frame_checks/object/q003/q003_t0001.50_det01_debug.png
object,q003,video_01,2.0,60,1,,a yellow car,,a yellow car,0.6280184388160706,"564.9,463.4,678.4,516.3","566.0,467.0,678.0,515.0",3819,0.0681660622358322,0.0816089957952499,yellow,0.0178057085722684,,,,outputs/frame_checks/object/q003/q003_t0002.00_det01_context.png,outputs/frame_checks/object/q003/q003_t0002.00_det01_bbox_crop.png,outputs/frame_checks/object/q003/q003_t0002.00_det01_sam_mask.png,outputs/frame_checks/object/q003/q003_t0002.00_det01_masked_crop.png,outputs/frame_checks/object/q003/q003_t0002.00_det01_debug.png
object,q003,video_01,2.5,75,1,,a yellow car,,a yellow car,0.6582325100898743,"564.7,463.3,678.5,516.4","566.0,467.0,678.0,515.0",3822,0.0671784430742263,0.0814285576343536,yellow,0.0198848769068717,,,,outputs/frame_checks/object/q003/q003_t0002.50_det01_context.png,outputs/frame_checks/object/q003/q003_t0002.50_det01_bbox_crop.png,outputs/frame_checks/object/q003/q003_t0002.50_det01_sam_mask.png,outputs/frame_checks/object/q003/q003_t0002.50_det01_masked_crop.png,outputs/frame_checks/object/q003/q003_t0002.50_det01_debug.png
object,q003,video_01,3.0,90,1,,a yellow car,,a yellow car,0.6237769722938538,"564.7,463.3,678.5,516.2","566.0,467.0,678.0,515.0",3832,0.0674405395984649,0.0818727165460586,yellow,0.0203549060970544,,,,outputs/frame_checks/object/q003/q003_t0003.00_det01_context.png,outputs/frame_checks/object/q003/q003_t0003.00_det01_bbox_crop.png,outputs/frame_checks/object/q003/q003_t0003.00_det01_sam_mask.png,outputs/frame_checks/object/q003/q003_t0003.00_det01_masked_crop.png,outputs/frame_checks/object/q003/q003_t0003.00_det01_debug.png
object,q003,video_01,3.5,105,1,,a yellow car,,a yellow car,0.6140508651733398,"564.7,463.4,678.3,516.1","566.0,467.0,678.0,515.0",3838,0.0673790350556373,0.0824979618191719,yellow,0.0192808751016855,,,,outputs/frame_checks/object/q003/q003_t0003.50_det01_context.png,outputs/frame_checks/object/q003/q003_t0003.50_det01_bbox_crop.png,outputs/frame_checks/object/q003/q003_t0003.50_det01_sam_mask.png,outputs/frame_checks/object/q003/q003_t0003.50_det01_masked_crop.png,outputs/frame_checks/object/q003/q003_t0003.50_det01_debug.png
object,q003,video_01,5.5,165,1,,a yellow car,,a yellow car,0.5523169636726379,"581.9,461.0,686.0,512.1","582.0,464.0,686.0,512.0",3579,0.0648576617240905,0.0813670754432678,yellow,0.0153674213215708,,,,outputs/frame_checks/object/q003/q003_t0005.50_det01_context.png,outputs/frame_checks/object/q003/q003_t0005.50_det01_bbox_crop.png,outputs/frame_checks/object/q003/q003_t0005.50_det01_sam_mask.png,outputs/frame_checks/object/q003/q003_t0005.50_det01_masked_crop.png,outputs/frame_checks/object/q003/q003_t0005.50_det01_debug.png
object,q065,video_08,0.000,0,1,1,a person wearing yellow shorts,,a person wearing yellow shorts,0.29013827443122864,"32.3,65.7,44.9,77.4","33.0,67.0,45.0,77.0",98,0.09356602281332016,0.06193620711565018,yellow,0.030612245202064514,0.12070245146751404,0.29831183751424156,,outputs/frame_checks/object/q065/q065_t0000.00_det01_context.png,outputs/frame_checks/object/q065/q065_t0000.00_det01_bbox_crop.png,outputs/frame_checks/object/q065/q065_t0000.00_det01_sam_mask.png,outputs/frame_checks/object/q065/q065_t0000.00_det01_masked_crop.png,outputs/frame_checks/object/q065/q065_t0000.00_det01_debug.png
object,q065,video_08,0.500,15,1,1,a person wearing yellow shorts,,a person wearing yellow shorts,0.2890365719795227,"32.4,65.8,44.9,77.4","33.0,67.0,45.0,77.0",96,0.09202739596366882,0.06683018058538437,yellow,0.03125,0.12075096368789673,0.2982493877410889,0.0001581570067152069,outputs/frame_checks/object/q065/q065_t0000.50_det01_context.png,outputs/frame_checks/object/q065/q065_t0000.50_det01_bbox_crop.png,outputs/frame_checks/object/q065/q065_t0000.50_det01_sam_mask.png,outputs/frame_checks/object/q065/q065_t0000.50_det01_masked_crop.png,outputs/frame_checks/object/q065/q065_t0000.50_det01_debug.png
