video_id,query_id,query_type,query_text,true_intervals,model_predicted,note
video_01,q001,object,a man with a red backpack,"2-40,112-122","6.75 7.25",
video_01,q002,object,a cyclist,112-122,"111.75 120.75;180.75 183.25;204.25 204.75",
video_01,q003,object,a yellow car,NONE,NONE,
video_01,q004,state,a white pickup truck is stationary,"8-90,115-132,188-220",NONE,
video_01,q005,state,a train is stationary,NONE,NONE,
video_01,q006,state,a gray car is stationary behind a lamppost,0-220,"99.25 100.25",
video_01,q007,action,a lawn mower cutting the grass,145-220,"146.75 152.25;160.05 162.75;176.85 180.55;191.05 220.05",
video_01,q008,action,a cyclist rides along the sidewalk,112-122,"33.75 36.65;111.85 118.05;123.05 124.65;216.05 218.75",
video_01,q009,action,a lawn mower drives through the parking lot,103-125,"147.65 154.15;160.05 164.95;175.05 183.95;190.15 198.45",
video_02,q010,object,a hand truck,"114-130,143-162","119.74 131.75;143.76 151.23",
video_02,q011,object,a person wearing a yellow shirt,NONE,NONE,
video_02,q012,object,a person wearing a white shirt,"(same as hand truck if that person's shirt is white -- user unsure)",NONE,user unsure whether the hand-truck person's shirt is white
video_02,q013,state,a car trunk is open,132-138,"132.75 137.25",
video_02,q014,state,there are no cars in the parking lot,"0-70,175-302","0.00 302.50",correct answer depends on reading "parking lot" as just the parking spaces not the whole lot; user's reading gives true=0-302
video_02,q015,state,two groups of people are standing on the sidewalk,148-302,"40.76 72.26;104.25 302.50",true range assumes "two groups" interpretation
video_02,q016,action,a car drives through the parking lot,"69-78,160-180","69.45 82.95;159.65 180.75",
video_02,q017,action,a person pulling a hand truck,114-163,"119.55 163.95",
video_02,q018,action,one person shoots another person,NONE,NONE,
video_03,q019,object,an elderly woman wearing a blue dress,180-192,"71.77 77.23;81.73 88.74;174.73 193.24",model saw a blue shirt on a man and mistook it for a woman in a blue dress
video_03,q020,object,a man with a backpack,"58-60,73-99,171-190,192-235","58.76 59.26;75.23 80.73;171.77 173.27;197.25 197.75",
video_03,q021,object,a blue umbrella,NONE,NONE,
video_03,q022,state,a person is standing near a table under an umbrella,174-190,NONE,
video_03,q023,state,a red bicycle is parked near the stairs,NONE,NONE,
video_03,q024,state,no one is on the stairs,"24-70,88-99,116-140,153-195,216-237,256-264,290-301",NONE,
video_03,q025,action,a person wearing a white shirt picks up a chair,NONE,NONE,
video_03,q026,action,a dog is barking,NONE,NONE,
video_03,q027,action,a person is walking up the stairs,"0-8,69-87,195-216,235-253","0.00 11.05;16.75 20.25;37.15 40.65;58.55 63.05;71.25 74.75;104.15 113.25;127.05 129.55;137.55 142.45;152.15 158.05;189.35 223.75;246.05 250.85",model appears to also be catching people walking DOWN the stairs
video_04,q028,object,a gun,"73-83,93-94,105-108,150-152","78.28 78.78",
video_04,q029,object,a man wearing a red jacket,"7-10,19-22,34-37,50-58,65-69,76-88","7.28 11.78;18.75 23.25;33.75 36.25;51.28 59.25;65.28 69.78;76.28 88.25",
video_04,q030,object,a man wearing a blue jacket and purple pants,"58-59,82-83,106-111,120-121,150-151",NONE,model struggles with "purple pants" attribute
video_04,q031,state,bags are lying on the ground,77-215,77-215,
video_04,q032,state,there are no people in the frame,"1-6,12-15,42-49,96-99,113-119,123-125,131-147,165-215",NONE,
video_04,q033,state,a green hand truck is standing upright,"0-58,69-71,83-86,90-90.5,97-104,106-152,157-215","69.28 72.25",
video_04,q034,action,a person in a red jacket carries a green table,6-10.5,"5.75 11.75;64.75 67.25",the 64-67 hit is actually a green hand truck, not the table
video_04,q035,action,people are fighting,86-95,"80.05 95.65",
video_04,q036,action,people are running away,"81-95,100-113,129-131,154-160,161-164","81.75 113.25;148.75 160.25",
video_05,q037,object,a man wearing a yellow shirt,"62-67,79-87,86-87,142-180 (colored light on the man's shirt makes this ambiguous; yellow visible ~142-147)","62.25 67.75;79.75 87.75;142.75 145.25;151.75 152.25;175.25 175.75",
video_05,q038,object,a man with a gun,NONE,NONE,
video_05,q039,object,a person wearing a red shirt,"98-100,117-118","117.25 117.75",
video_05,q040,state,a person is inside the store,"38-90,96-104,142-145","37.75 99.25;123.75 145.25",
video_05,q041,state,the door is closed,"107-123,127-143",NONE,
video_05,q042,state,a white pickup truck is parked in the background,0-82,NONE,
video_05,q043,action,robbers are smashing store windows,"52-54,55-56",NONE,
video_05,q044,action,a dog is behaving aggressively,NONE,NONE,
video_05,q045,action,a person drops an object,50-52,"13.85 15.75;50.75 52.25;79.95 81.55",
video_06,q046,object,a person wearing a red cap,"132-168,236-237",NONE,
video_06,q047,object,TV,180-182,NONE,
video_06,q048,object,a police car,NONE,NONE,
video_06,q049,state,a black pickup truck is parked in the background,NONE,NONE,
video_06,q050,state,a person is standing with a phone in their hand,"9-10,47-49,64-72,76-78,103-115,120-132,136-142,150-152",NONE,
video_06,q051,state,a person is standing with a phone to their ear,"23-47,62-63,79-80,90-92","30.25 47.25",
video_06,q052,action,a person knocks on the door,"13-17,34-38,55-61,84-88,137-142","19.75 22.25",
video_06,q053,action,a person forces the door open,158-164,NONE,
video_06,q054,action,people run out of the house,"220-223,225-227,236-238",NONE,
video_07,q055,object,a yellow dumpster filled with sand,0-end,"0.00 299.50",
video_07,q056,object,a person wearing a red shirt,NONE,NONE,
video_07,q057,object,a yellow-and-white car,"0-66,87-229","0.00 66.25;87.75 191.75;197.75 229.75",
video_07,q058,state,a yellow-and-white car is parked near the construction site,"0-60,101-120,137-219","0.00 63.75;89.75 96.75;124.25 228.25",
video_07,q059,state,a tractor is lying on its side,52-170,"52.75 172.25",
video_07,q060,state,a person wearing a white shirt,NONE,NONE,
video_07,q061,action,several men lift the tractor back up,165-175,NONE,
video_07,q062,action,a tractor tips over,50-52,NONE,
video_07,q063,action,a tractor is operating,"0-52,167-175,190-212","162.95 183.25;189.05 202.95;209.75 227.25",
video_08,q064,object,a person wearing a red cap,"0-23,134-155","10.75 16.75;22.75 23.75;142.25 142.75;153.25 155.25",
video_08,q065,object,a person wearing yellow shorts,"83-136,147-148,153-185","83.25 135.25;147.75 148.25;153.25 185.25",
video_08,q066,object,a person wearing a red T-shirt,"70-73,124-134","124.25 124.75;129.75 133.75",
video_08,q067,state,there are no cashiers at the checkout counters,"237-282,287-end",NONE,
video_08,q068,state,there are no shopping carts in the frame,"0-22,272-end","0.00 12.50;47.00 62.50;83.00 93.00;162.00 177.50;218.50 230.00;244.00 262.00;262.00 282.00",
video_08,q069,state,only one checkout counter is open,282-285,"0.00 298.50",
video_08,q070,action,a person puts items into a shopping cart,"87-95,147-160,240-249",NONE,
video_08,q071,action,children are running near the checkout counter,NONE,NONE,
video_08,q072,action,a cashier is bagging groceries,"20-50,100-103,150-172","0.00 20.65;39.45 51.45;63.95 69.55;80.95 84.35;95.95 123.75;137.55 153.25;159.95 180.55;191.95 228.25;239.95 260.05",model may be flagging anyone bagging something as "a cashier"
