video_id,query_id,query_text,query_type
video_01,q001,a man with a red backpack,object
video_01,q002,a cyclist,object
video_01,q003,a yellow car,object
video_01,q004,a white pickup truck is stationary,state
video_01,q005,a train is stationary,state
video_01,q006,a gray car is stationary behind a lamppost,state
video_01,q007,a lawn mower cutting the grass,action
video_01,q008,a cyclist rides along the sidewalk,action
video_01,q009,a lawn mower drives through the parking lot,action
video_02,q010,a hand truck,object
video_02,q011,a person wearing a yellow shirt,object
video_02,q012,a person wearing a white shirt,object
video_02,q013,a car trunk is open,state
video_02,q014,there are no cars in the parking lot,state
video_02,q015,two groups of people are standing on the sidewalk,state
video_02,q016,a car drives through the parking lot,action
video_02,q017,a person pulling a hand truck,action
video_02,q018,one person shoots another person,action
video_03,q019,an elderly woman wearing a blue dress,object
video_03,q020,a man with a backpack,object
video_03,q021,a blue umbrella,object
video_03,q022,a person is standing near a table under an umbrella,state
video_03,q023,a red bicycle is parked near the stairs,state
video_03,q024,no one is on the stairs,state
video_03,q025,a person wearing a white shirt picks up a chair,action
video_03,q026,a dog is barking,action
video_03,q027,a person is walking up the stairs,action
video_04,q028,a gun,object
video_04,q029,a man wearing a red jacket,object
video_04,q030,a man wearing a blue jacket and purple pants ,object
video_04,q031,bags are lying on the ground,state
video_04,q032,there are no people in the frame,state
video_04,q033,a green hand truck is standing upright,state
video_04,q034,a person in a red jacket carries a green table,action
video_04,q035,people are fighting,action
video_04,q036,people are running away,action
video_05,q037,a man wearing a yellow shirt,object
video_05,q038,a man with a gun,object
video_05,q039,a person wearing a red shirt,object
video_05,q040,a person is inside the store,state
video_05,q041,the door is closed,state
video_05,q042,a white pickup truck is parked in the background,state
video_05,q043,robbers are smashing store windows,action
video_05,q044,a dog is behaving aggressively,action
video_05,q045,a person drops an object,action
video_06,q046,a person wearing a red cap,object
video_06,q047,TV,object
video_06,q048,a police car ,object
video_06,q049,a black pickup truck is parked in the background,state
video_06,q050,a person is standing with a phone in their hand,state
video_06,q051,a person is standing with a phone to their ear,state
video_06,q052,a person knocks on the door,action
video_06,q053,a person forces the door open,action
video_06,q054,people run out of the house,action
video_07,q055,a yellow dumpster filled with sand,object
video_07,q056,a person wearing a red shirt,object
video_07,q057,a yellow-and-white car,object
video_07,q058,a yellow-and-white car is parked near the construction site,state
video_07,q059,a tractor is lying on its side,state
video_07,q060,a person wearing a white shirt,state
video_07,q061,several men lift the tractor back up,action
video_07,q062,a tractor tips over,action
video_07,q063,a tractor is operating,action
video_08,q064,a person wearing a red cap,object
video_08,q065,a person wearing yellow shorts,object
video_08,q066,a person wearing a red T-shirt,object
video_08,q067,there are no cashiers at the checkout counters,state
video_08,q068,there are no shopping carts in the frame,state
video_08,q069,only one checkout counter is open,state
video_08,q070,a person puts items into a shopping cart,action
video_08,q071,children are running near the checkout counter,action
video_08,q072,a cashier is bagging groceries,action
